country,track.id,track name,popularity,danceability,energy,acousticness,liveness,tempo
Belgium,3K00Ib1shkOEiAXU5pec6e,Back To You,77.0,0.679,0.548,0.234,0.189,115.954
Belgium,1aOl53hkZGHkl2Snhr7opL,How Do I Say Goodbye,76.0,0.4,0.641,0.214,0.0656,81.552
Belgium,6sCvvleqKbeyOkQDieBYgp,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,75.0,0.247,0.299,0.899,0.131,177.115
Belgium,3NzxPt9QFCTsFBQ0wPVTDe,Galactic,74.0,0.79,0.687,0.315,0.348,146.05
Belgium,44Xyja7xYPlVC6v2CeweSi,GOSSIP (feat. Tom Morello),73.0,0.704,0.819,0.00176,0.094,139.921
Belgium,1L8sanepRgDJlQTsPQ4mU1,Probleem,72.0,0.899,0.481,0.571,0.11,130.018
Belgium,2LcmbuYX7tyR4DWy3b273L,Noodgeval,71.0,0.856,0.89,0.131,0.0614,139.003
Belgium,0DDcpc9ImOsGUWupRj2xu5,Adrenaline,68.0,0.741,0.727,0.0231,0.121,150.061
Belgium,16FTTvpIgihyei3EBNw1jd,Jolie (feat. Ninho),67.0,0.717,0.686,0.141,0.208,134.067
Belgium,323zcUSa2qrq0aUAwL30sT,Therapie,66.0,0.636,0.603,0.0498,0.0685,179.923
Belgium,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),63.0,0.712,0.463,0.011,0.301,131.199
Belgium,7Gzz44FpTbZu0DNVVZjwPs,Wat Wil Je Van Mij,62.0,0.734,0.564,0.364,0.527,116.025
Belgium,7vwTsX8UY5QZmPiQUmWkaL,Warrior,60.0,0.574,0.69,0.175,0.197,87.019
Belgium,5y9KXJV7Gwk3Up34fyPWMr,Natte Sokken,59.0,0.572,0.668,0.597,0.094,93.135
Belgium,3xrZCGMyXIDqesVz4QwJOL,Baby,57.0,0.841,0.466,0.065,0.0898,110.056
Belgium,2WcEQUVZAV7RxNBrHmcFKn,ZILVER,54.0,0.646,0.727,0.0257,0.131,136.016
Belgium,6zJejIfVYLgjud3lTk4DLB,SNAP,36.0,0.565,0.636,0.107,0.447,170.01
Bolivia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Bolivia,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",97.0,0.778,0.632,0.274,0.0915,122.104
Bolivia,5ww2BF9slyYgNOk37BlC4u,La Bachata,94.0,0.835,0.679,0.583,0.218,124.98
Bolivia,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",93.0,0.621,0.782,0.0125,0.23,128.033
Bolivia,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,91.0,0.911,0.712,0.0901,0.0933,92.005
Bolivia,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,90.0,0.65,0.715,0.0993,0.126,106.672
Bolivia,4Dvkj6JhhA12EX05fT7y2e,As It Was,89.0,0.52,0.731,0.342,0.311,173.93
Bolivia,6Xom58OOXk2SoU711L2IXO,Moscow Mule,87.0,0.804,0.674,0.294,0.115,99.968
Bolivia,2rurDawMfoKP4uHyb2kJBt,Te Felicito,86.0,0.695,0.636,0.234,0.081,174.14
Bolivia,6OzUIp8KjuwxJnCWkXp1uL,Besos Moja2,85.0,0.736,0.727,0.0584,0.0976,94.048
Bolivia,1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,84.0,0.627,0.858,0.263,0.21,92.523
Bolivia,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,83.0,0.87,0.548,0.0924,0.0534,96.018
Bolivia,33cF8aTmGJ6TsEf23uqGIN,LOKERA,82.0,0.836,0.826,0.213,0.0814,102.025
Bolivia,4khWEpnaijN0G1x019Uzdr,No Se Va,81.0,0.734,0.685,0.117,0.109,92.042
Bolivia,7gwT3HGL84vF7bgtwL1N88,Ojos Marrones,80.0,0.809,0.649,0.0407,0.145,120.014
Bolivia,6VAS7m73rDopQe7BdrFMpD,"Tiago PZK: Bzrp Music Sessions, Vol. 48",79.0,0.657,0.821,0.459,0.103,96.561
Bolivia,7hynhxDoDpgMIV12JuVtNa,UN PESO,78.0,0.627,0.675,0.125,0.0784,79.31
Bolivia,4H6o1bxKRGzmsE0vzo968m,Qué Agonía,77.0,0.732,0.573,0.56,0.0543,97.502
Bolivia,4WiQA1AGWHFvaxBU6bHghs,PUNTO G,75.0,0.751,0.761,0.251,0.0991,92.032
Bolivia,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,74.0,0.759,0.561,0.803,0.101,104.915
Bolivia,1DxEbt6OSbrkRthk6pjZue,MERCHO,72.0,0.838,0.79,0.431,0.184,92.927
