country,track.id,track name,popularity,date
Belgium,2nD4X3sHH2kZ1gWraTpe7u,TOUTE LA JOURNÉE (feat. Tiakola),73.0,2023-02-28
Belgium,16FTTvpIgihyei3EBNw1jd,Jolie (feat. Ninho),72.0,2023-02-28
Belgium,2LcmbuYX7tyR4DWy3b273L,Noodgeval,70.0,2023-02-28
Belgium,1IMgLV6uQ1mzc1XzfhLRQt,Ma Réalité,69.0,2023-02-28
Belgium,2r6L78L65TyGirzPgJvYEy,Au Bout De La Nuit,68.0,2023-02-28
Belgium,4fWyBvLIPO68D2Ff87t1em,Stiekem,67.0,2023-02-28
Belgium,0DDcpc9ImOsGUWupRj2xu5,Adrenaline,66.0,2023-02-28
Belgium,48doyYB1i3Yyv3B13R1rZ3,Introduction,65.0,2023-02-28
Belgium,2c04RWBdaPi7OTakLMwy20,Herinnering,60.0,2023-02-28
Belgium,7vwTsX8UY5QZmPiQUmWkaL,Warrior,58.0,2023-02-28
Belgium,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,39.0,2023-02-28
Belgium,6zJejIfVYLgjud3lTk4DLB,SNAP,25.0,2023-02-28
Bolivia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Bolivia,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28
Bolivia,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28
Bolivia,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28
Bolivia,4Dvkj6JhhA12EX05fT7y2e,As It Was,89.0,2023-02-28
Bolivia,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,88.0,2023-02-28
Bolivia,5Eax0qFko2dh7Rl2lYs3bx,Efecto,87.0,2023-02-28
Bolivia,6G12ZafqofSq7YtrMqUm76,Monotonía,86.0,2023-02-28
Bolivia,31i56LZnwE6uSu3exoHjtB,Neverita,85.0,2023-02-28
Bolivia,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,84.0,2023-02-28
Bolivia,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,82.0,2023-02-28
Bolivia,53tfEupEzQRtVFOeZvk7xq,DESPECHÁ,81.0,2023-02-28
Bolivia,4khWEpnaijN0G1x019Uzdr,No Se Va,80.0,2023-02-28
Bolivia,3PpWCS95gDUDRPko3u1MZ9,Prohibidox,79.0,2023-02-28
Bolivia,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28
Bolivia,4J1vAbtAhMdsdpO1sKU3EO,Pa’ la Selección,77.0,2023-02-28
Bolivia,1aUq8rjW1EwkAkMri4VfJy,LOKERA,76.0,2023-02-28
Bolivia,7MVIfkyzuUmQ716j8U7yGR,Rara Vez,75.0,2023-02-28
Bolivia,38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),74.0,2023-02-28
Bolivia,3eUR4NZa2hc8ZulyFYdCv8,Los Cachos,72.0,2023-02-28
Bolivia,04ndZkbKGthTgYSv3xS7en,Cupido,69.0,2023-02-28
Bolivia,4yPmTUkWmUfLPQLCccp0DR,Muñecas,66.0,2023-02-28
Bolivia,6Vn1vje8yMw2OY6IOk9dkH,GATÚBELA,65.0,2023-02-28
Bolivia,3HqcNJdZ2seoGxhn0wVNDK,PROVENZA,64.0,2023-02-28
Brazil,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Brazil,2K9kZpwD2CzTa6iiSYYOoO,Leão,87.0,2023-02-28
Brazil,1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,86.0,2023-02-28
Brazil,4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,85.0,2023-02-28
Brazil,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,84.0,2023-02-28
Brazil,7nFvKgVumc9FcU97zGjjei,Coração de Gelo,83.0,2023-02-28
Brazil,7oDd86yk8itslrA9HRP2ki,Die For You - Remix,82.0,2023-02-28
Brazil,6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,81.0,2023-02-28
Brazil,2orGm2E68ODFYOURjaES62,Felina,80.0,2023-02-28
