country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Spain,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Suriname,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Switzerland,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
USA,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Uruguay,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28,0.778,0.632,0.274,0.0915,122.104
Argentina,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Bolivia,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Chile,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Colombia,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Costa Rica,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Ecuador,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Guatemala,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Mexico,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Nicaragua,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Peru,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Spain,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Suriname,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Switzerland,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
